PMID/ELID первой запись диапазона (по рандомизированному списку 655 экспортированных из PubMed и eLIBRARY.RU),PMID/ELID последней записи диапазона (по рандомизированному списку 655 экспортированных из PubMed и eLIBRARY.RU),Число записей в диапазоне,Комментарий для скринеров,Чистое время сокращенного первичного скрининга (только по заголовкам и без проставления шага) ПВЖ в минутах и секундах,Чистое время сокращенного первичного скрининга (только по заголовкам и без проставления шага) ПВЖ в секундах
36323783,35105136,147,"Соответствует странице 1 в PortoDB.",00:05:21:90,
35684215,36870940,147,"Соответствует странице 2 в PortoDB.",00:04:42:12,
35649748,36407121,147,"Соответствует странице 3 в PortoDB.",00:04:52:96,
29455483,36914692,147,"Соответствует странице 4 в PortoDB.",00:04:30:82,
35203457,24180594,67,"Соответствует странице 5 в PortoDB.",00:01:50:99,
36323783,24180594,655,"Всего со страницы 1 по страницу 5 в PortoDB.",:::,
36323783,24180594,655,"Mean",:::,
36323783,24180594,655,"SD",:::,
36323783,24180594,655,"95% CI Lower",:::,
36323783,24180594,655,"95% CI Upper",:::,
36323783,24180594,655,"Minimum",:::,
36323783,24180594,655,"Median",:::,
36323783,24180594,655,"Maximum",:::,